16701 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.916667, F1: 0.928571, Positive Class Precision: 0.866667, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.818182
16695 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.833333, F1: 0.862069, Positive Class Precision: 0.806452, Positive Class Recall: 0.925926, Negative Class Precision: 0.882353, Negative Class Recall: 0.714286
17360 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.979167, F1: 0.982456, Positive Class Precision: 0.965517, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.950000
16695 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.854167, F1: 0.851064, Positive Class Precision: 0.769231, Positive Class Recall: 0.952381, Negative Class Precision: 0.954545, Negative Class Recall: 0.777778
16808 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 1.000000, F1: 1.000000, Positive Class Precision: 1.000000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 1.000000
17204 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.875000, F1: 0.892857, Positive Class Precision: 0.833333, Positive Class Recall: 0.961538, Negative Class Precision: 0.944444, Negative Class Recall: 0.772727
16646 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.791667, F1: 0.807692, Positive Class Precision: 0.700000, Positive Class Recall: 0.954545, Negative Class Precision: 0.944444, Negative Class Recall: 0.653846
16899 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.854167, F1: 0.872727, Positive Class Precision: 0.774194, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.708333
16588 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.916667, F1: 0.916667, Positive Class Precision: 0.846154, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.846154
17121 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.916667, F1: 0.928571, Positive Class Precision: 0.896552, Positive Class Recall: 0.962963, Negative Class Precision: 0.947368, Negative Class Recall: 0.857143
16802 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.937500, F1: 0.938776, Positive Class Precision: 0.920000, Positive Class Recall: 0.958333, Negative Class Precision: 0.956522, Negative Class Recall: 0.916667
16929 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.937500, F1: 0.949153, Positive Class Precision: 0.933333, Positive Class Recall: 0.965517, Negative Class Precision: 0.944444, Negative Class Recall: 0.894737
17099 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.895833, F1: 0.888889, Positive Class Precision: 0.833333, Positive Class Recall: 0.952381, Negative Class Precision: 0.958333, Negative Class Recall: 0.851852
16962 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.875000, F1: 0.880000, Positive Class Precision: 0.785714, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.769231
